rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/happy_happy_joy_joy_the_ren_and_stimpy_story,Happy Happy Joy Joy: The Ren & Stimpy Story,"Filmmakers Ron Cicero and Kimo Easterwood explore the rise and fall of the groundbreaking animated series ""Ren and Stimpy"" and its controversial creator, John Kricfalusi.","Despite glossing over some of the darker events in the subject's life, Happy Happy Joy Joy: The Ren & Stimpy Story is an engaging look at a groundbreaking show.",NR,Documentary,"Kimo Easterwood, Ron Cicero",Ron Cicero,"Billy West, Mr. Lawrence, Billy Gibbons, John Kricfalusi, Bob Camp, Bobby Lee, Lynne Naylor, Shawn Patterson, Vincent Waller, Chris Reccardi, April March, Jim Smith, Edward Bell, Eddie Fitzgerald, Stephen DeStefano, Bob Jaques, Jim Gomez, Bill Wray, Robin Byrd, Vanessa Coffey",,14/08/2020,104,Gravitas Ventures,Fresh,78,23,Upright,100,13,7,18,5
m/haunt_2019,Haunt,"On Halloween, several friends enter an extreme haunted house and quickly discover some of their nightmares are real.","Haunt is spooked by the spirits of its obvious influences, but still packs enough thrills and chills to satisfy horror fans up for a haunted house excursion.",R,"Horror, Mystery & Suspense","Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Katie Stevens, Will Brittain, Lauryn Alisa McClain, Andrew Caldwell, Shazi Raja, Schuyler Helford, Chaney Morrow, Justin Marxen, Terri Partyka, Damian Maffei, Samuel Hunt, Phillip Johnson Richardson, Justin Rose II, Schuyler White",13/09/2019,13/09/2019,92,Momentum Pictures,Fresh,70,46,,100,8,5,32,14
m/i_will_make_you_mine,I Will Make You Mine,Three women wrestle with life's difficulties while confronting their past relationships with the same man.,,NR,Drama,Lynn Chen,Lynn Chen,"Lynn Chen, Yea-Ming Chen, Ayako Fujitani, Goh Nakamura, Joy Osmanski, Mike Faiola, Tamlyn Tomita, Ayami Riley Tomine",,29/05/2020,80,Gravitas Ventures,Fresh,100,19,Upright,100,6,7,19,0
m/inmate_1_the_rise_of_danny_trejo,Inmate #1: The Rise of Danny Trejo,"The extraordinary life journey of one of Hollywood's most unlikely heroes, Danny Trejo.",Inmate #1: The Rise of Danny Trejo uses its subject's remarkable journey as the basis for a thoughtful and inspiring documentary.,NR,Documentary,Brett Harvey,"Brett Harvey, Scott Dodds","Danny Trejo, Robert Rodriguez, Michelle Rodriguez, Donal Logue, Cheech Marin, Gilbert Trejo, Danielle Trejo, Craig Balkam, Jhonnie Harris, Max Martinez",,05/07/2020,110,Universal Pictures Home Entertainment,Fresh,100,32,Upright,100,22,6,32,0
m/left_on_purpose,Left on Purpose,An aging anti-war activist decides to take his own life as his last political act.,,NR,"Documentary, Drama","Justin Schein, David Mehlman",,Mayer Vishner,10/02/2017,10/02/2017,95,Shadowbox Films,Fresh,88,8,Upright,100,79,4,7,1
m/little_monsters_2019,Little Monsters,,"Led by typically outstanding work from Lupita Nyong'o, Little Monsters is a horror/rom-com hybrid that proves the zombie genre still has fresh brains to savor.",NR,"Comedy, Horror",Abe Forsythe,,"Lupita Nyong'o, Alexander England, Josh Gad, Kat Stewart, Nadia Townsend, Marshall Napier, Ava Caryofyllis, Rahel Romahn, Stephen Peacocke, Lincoln Younes, Zindzi Okenyo, Adele Vuko, Chris Bunton",08/10/2019,11/10/2019,94,,Certified-Fresh,80,128,,100,9,15,102,26
m/lost_in_america_2020,Lost in America,"Chronicles homelessness in the United States from the points of view of homeless people, politicians and charitable organizations.",,NR,Documentary,Rotimi Rainwater,Rotimi Rainwater,"Halle Berry, Jewel Kilcher, Jon Bon Jovi, Rosario Dawson, Tiffany Haddish",28/02/2020,09/06/2020,94,Indican Pictures,Fresh,100,7,Upright,100,11,5,7,0
m/love_free_or_die,Love Free or Die,"The life and work of Bishop Gene Robinson, an openly gay man who set a precedent in New Hampshire in the battle for LGBT people to receive full acceptance in the faith.",,NR,"Documentary, Special Interest, Faith & Spirituality",Macky Alston,,Bishop Gene Robinson,,10/08/2016,82,Wolfe Releasing,Rotten,57,7,Upright,100,45,3,4,3
m/man_in_camo,Man in Camo,A dyslexic man uses his passion for filmmaking to escape from reality and communicate with others.,,NR,"Animation, Documentary",Ethan H. Minsker,,"Ethan H. Minsker, Syd Butler, Laura Flook, Tiago Abrantes, Un Lee, Iggy Michniacki, Clayton Patterson",,29/05/2020,85,Freestyle Digital Media,Fresh,100,5,Upright,100,19,0,5,0
m/manchild_the_schea_cotton_story,Manchild: The Schea Cotton Story,,,NR,Documentary,Eric 'Ptah' Herbert,"Eric 'Ptah' Herbert, Michael Landers","Andrew Amigo, Badlucc, Alesia A. Wesley, Toby Bailey",,,74,,Fresh,100,5,Upright,100,5,0,5,0
