rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1052609-kid,The Kid,"Chaplin's first full-length feature is a silent masterpiece about a little tramp who discovers a little orphan and brings him up but is left desolate when the orphanage reclaims him. Chaplin directed, produced and starred in the film, as well as composed the score.","Charles Chaplin' irascible Tramp is given able support from Jackie Coogan as The Kid in this slapstick masterpiece, balancing the guffaws with moments of disarming poignancy.",NR,"Classics, Comedy",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Jackie Coogan, Edna Purviance, Carl Miller, Tom Wilson, Henry Berman, Charles Reisner, Jack Coogan Sr., Albert Austin, Nellie Bly Baker, Henry Bergman, Edgar Sherrod, Lita Grey Chaplin, Raymond Lee, Beulah Bains, Robert Dunbar, Kitty Bradbury, Rupert Franklin, Walter Lynch, Jules Hanft, Frank Campeau, John McKinnon, Phyllis Allen, Esther Ralston",21/01/1921,02/09/2016,60,First National Pictures Inc.,Certified-Fresh,100,43,Upright,95,15438,7,43,0
m/1058966-red,Three Colors: Red (Trois couleurs: Rouge),"Part-time model Valentine (Irène Jacob) meets a retired judge (Jean-Louis Trintignant) who lives in her neighborhood after she runs over his dog. At first the judge gifts Valentine with the dog, but her possessive boyfriend won't allow her to keep it. When she returns with the dog to the judge's house, she discovers him listening in on his neighbors' phone conversations. At first Valentine is outraged, but her debates with the judge over his behavior soon leads them to form a strange bond.","A complex, stirring, and beautifully realized portrait of interconnected lives, Red is the captivating conclusion to a remarkable trilogy.",R,"Art House & International, Drama, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz","Jean-Louis Trintignant, Irène Jacob, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan, Marion Stalens, Teco Celio, Bernard Escalon, Jean Schlegel, Elzbieta Jasinska, Paul Vermeulen, Roland Carey, Juliette Binoche, Benoit Regent",23/11/1994,11/03/2017,99,Miramax Films,Certified-Fresh,100,54,Upright,95,35578,14,54,0
m/1148076-no_direction_home_bob_dylan,No Direction Home: Bob Dylan,"This documentary film traces musician Bob Dylan's evolution from folk troubadour to iconic rock star. Live concert footage and press conferences from the 1960s and a new interview with Dylan are used to draw a portrait of the legendary singer-songwriter. Additionally, the film features interviews conducted with some of Dylan's closest friends and fellow artists, including poet Allen Ginsberg, former love interest and noted performer Joan Baez, and Dylan's early mentor, Pete Seeger.",,NR,"Documentary, Musical & Performing Arts",Martin Scorsese,,"Bob Dylan, Paul Nelson",21/07/2005,06/05/2015,207,Paramount Pictures,Fresh,88,17,Upright,95,9595,6,15,2
m/96_souls,96 Souls,"A research scientist who is on the verge of losing his funding has a terrible lab accident. After the accident, he discovers he's gained the supernatural ability to see a person's true intentions.",,NR,"Drama, Science Fiction & Fantasy",Stanley Jacobs,Stanley Jacobs,"Grinnell Morris, Sid Veda, Paul Statman, Michael J. Silver, Kevin Rock, Robert Locke, Shelli Ratti, Toyin Moses, Jewel Greenberg, John Hillard, Darla Haun, Mary Kay Wulf, Nikki Crawford, Linda Demetrick, Iris Karina, Lynn Duong, Derek Loughran, Dan Istrate, Susan Hanfield, Tarnue Massaquoi, Lili Wexu, John Mawson, Andrea Sevilla, Dan Klass, Jeff Boehm, Jeff L. Williams, Beth Fraser, Phillip Kelly, Dominick Marrone, Rachel Ford, Hiroshi Moroto, Jeremiah Benjamin, Eric Lee Huffman, Alex Demkin, Paul Marshall, Casey MacDonald, Betsy Baker, Art Roberts, Nathalie Nicole Paulding, Angela K. Thomas",26/05/2017,01/06/2017,112,SJPL Films,Rotten,0,6,Upright,95,140,3,0,6
m/a_very_sordid_wedding,A Very Sordid Wedding,"The impact of the Supreme Court's ruling on same-sex marriage equality in the conservative town of Winters, Texas.",,NR,Comedy,Del Shores,Del Shores,"Bonnie Bedelia, Leslie Jordan, Dale Dickey, Caroline Rhea, Whoopi Goldberg, Rosemary Alexander, Emerson Collins, Levi Kreis, Alec Mapa, Blake McIver Ewing, Thanya Romero, Newell Alexander, Lorna Scott, Carole Cook, Scott Presley, Sharon Garrison, Richard Curtin, Louise H. Beard, David Cowgill, David Steen, Katherine Bailess, T. Ashanti Mozelle, Aleks Paunovic, James Love, Mitchell Gold",10/03/2017,17/10/2017,109,Beard Collins Shores Productions,Fresh,86,7,Upright,95,1533,4,6,1
m/abominable,Abominable,"After discovering a Yeti on the roof of her apartment building, teenage Yi and her two friends embark on an epic quest to reunite the magical creature with his family. But to do so, they must stay one step ahead of a wealthy financier and a determined zoologist who want to capture the beast for their own gain.","Working with admittedly familiar ingredients, Abominable offers audiences a beautifully animated and overall engaging adventure that the whole family can enjoy.",PG,"Action & Adventure, Animation, Comedy",Jill Culton,,"Chloe Bennet, Tenzing Norgay Trainor, Albert Tsai, Eddie Izzard, Sarah Paulson, Tsai Chin",27/09/2019,27/09/2019,97,Universal Pictures,Certified-Fresh,81,164,,95,7929,24,133,31
m/amadeus,Amadeus,"Wolfgang Amadeus Mozart (Tom Hulce) is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri (F. Murray Abraham). Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.","A lavish, entertaining, powerful film about the life and influence, both positive and negative, of one of Western culture's great artists.",R,"Drama, Musical & Performing Arts",Milos Forman,Peter Shaffer,"Tom Hulce, F. Murray Abraham, Elizabeth Berridge, Simon Callow, Roy Dotrice, Christine Ebersole, Jeffrey Jones, Charles Kay, Lisbeth Bartlett, Kenny Baker, Barbara Byrne, Barbara Bryne, Martin Cavani, Roderick Cook, Milan Demjanenko, Peter DiGesu, Richard Edward Frank, Patrick Hines, Nicholas Kepros, Philip Lenkowsky, Herman Meckler, Jonathan Moore, Cynthia Nixon, Brian Pettifer, Vincent Schiavelli, Douglas Seale, Miroslav Sekera, Gil Amelio, Kenneth McMillan, John J. Strauss, Karl-Heinz Teuber, Dana Vávrová, Neville Marriner",06/09/1984,18/05/2016,158,Warner Bros. Pictures,Certified-Fresh,93,99,Upright,95,180143,26,92,7
m/amelie,Amélie,"""Amélie"" is a fanciful comedy about a young woman who discretely orchestrates the lives of the people around her, creating a world exclusively of her own making. Shot in over 80 Parisian locations, acclaimed director Jean-Pierre Jeunet (""Delicatessen""; ""The City of Lost Children"") invokes his incomparable visionary style to capture the exquisite charm and mystery of modern-day Paris through the eyes of a beautiful ingenue.","The feel-good Amelie is a lively, fanciful charmer, showcasing Audrey Tautou as its delightful heroine.",R,"Art House & International, Comedy, Drama, Romance",Jean-Pierre Jeunet,"Guillaume Laurant, Jean-Pierre Jeunet","Audrey Tautou, Mathieu Kassovitz, Serge Merlin, Rufus, Jamel Debbouze, Yolande Moreau, Urbain Cancelier, Dominique Pinon, Lorella Cravotta, Maurice Bénichou, Michel Robin, Isabelle Nanty, Claire Maurier, Clotilde Mollet, Artus de Penguern, Armelle, Claude Perron, Ticky Holgado, Jean Darie, Flora Guiet, Amaury Babault, Marc Amyot, Dominique Bettenfeld, Eugène Berthier, Andrée Damant, Franckie Pain, Marion Pressburger, Charles-Roger Bour, Luc Palan, Fabienne Chaudat, Jacques Viala, Fabien Behar, Jonathan Joss, Jean-Pierre Becker, Thierry Gebault, Francois Bercovici, Guillaume Viry, Valerie Zarrouck, Kevin Fernandes, Marie-Laure Descoureaux, Sophie Tellier, Gérald Weingand, Francois Viaur, Paule Dare, Myriam Labbe, Robert Gendreu, Julianna Kovacs, Philippe Paimblanc, Mady Malroux, Monette Malroux, Valériane De Villeneuve, Isis Peyrade, Raymonde Heudeline, Christiane Bopp, Thierry Arfeuilleres, Jerry Lucas, Patrick Paroux, Francois Aubineau, Philippe Beautier, Régis Iacono, Frank-Oliver Bonnet, Jean-Pol Brissart, Alain Floret",02/11/2001,21/04/2016,121,Miramax Films,Certified-Fresh,89,184,Upright,95,469061,46,163,21
m/american_street_kid,American Street Kid,Teenagers reveal how they became homeless and discuss their daily struggle to survive on the streets of Los Angeles.,,NR,Documentary,Michael Leoni,Michael Leoni,,,21/08/2020,104,Kandoo Films,Fresh,83,6,Upright,95,19,1,5,1
m/and_then_we_danced,And Then We Danced,"A male dancer and his partner have been training for years for a spot in the National Georgian Ensemble. The arrival of another dancer throws him off balance, sparking both an intense rivalry and romantic desire that may cause him to risk his future.","Led by an outstanding performance from Levan Gelbakhiani, And Then We Danced defeats prejudice with overwhelming compassion.",NR,"Drama, Romance",Levan Akin,Levan Akin,"Ana Javakishvili, Giorgi Tsereteli, Tamar Bukhnikashvili, Marika Gogichaishvili, Kakha Gogidze, Levan Gabrava",07/02/2020,29/05/2020,105,Music Box Films,Certified-Fresh,93,81,,95,21,16,75,6
m/central-do-brasil-central-station,Central Station (Central do Brasil),"Bitter former schoolteacher Dora (Fernanda Montenegro) supports herself by taking dictation from illiterate people in Rio de Janeiro who want to write letters to their families and then pocketing their money without ever mailing the envelopes. One day, Josue (Vinícius de Oliveira), the 9-year-old son of one of her clients, is left alone when his mother is killed in a bus accident. Reluctantly taking him in, Dora joins the boy on a road trip to find his long-missing father.",Director Salles transcends road-movie clichés and crafts a film that is as moving as it is universal.,R,"Art House & International, Drama",Walter Salles,"Joao Emanuel Carneiro, Walter Salles, Marcos Bernstein","Fernanda Montenegro, Marilia Pera, Vincius De Oliveira, Vinícius de Oliveira, Soia Lira, Othon Bastos, Otávio Augusto, Stela Freitas, Matheus Nachtergaele, Caio Junqueira, Antonella Rendina, Socorro Nobre, Manoel Gomes, Roberto Andrade, Sheyla Kenia, Malcon Soares, Maria Clara Fernandes, Maria Marlene, Christano Camargo, Jorseba-Sebastiao Oliveira",20/11/1998,23/03/2017,110,Sony Classics,Certified-Fresh,94,48,Upright,95,13557,12,45,3
m/champs,Champs,"Boxing legends Mike Tyson, Evander Holyfield and Bernard Hopkins discuss their common roots in poverty, the absence of meaningful regulation in their sport and how they succumbed to the perils of fame.",,NR,"Documentary, Special Interest",Bert Marcus,Bert Marcus,"Mike Tyson, Evander Holyfield, Bernard Hopkins, 50 Cent, Mary J. Blige, Ron Howard, Denzel Washington, Mark Wahlberg, Spike Lee",13/03/2015,05/12/2016,85,Amplify Releasing,Fresh,67,27,Upright,95,2231,9,18,9
m/chuck_berry_hail_hail_rock_n_roll,Chuck Berry: Hail! Hail! Rock 'n' Roll,"Filmed by director Taylor Hackford on the occasion of Chuck Berry's 60th birthday, this documentary presents the rock legend performing in his hometown of St. Louis, Missouri. Joined by a number of admiring musicians, notably guitar acolytes Keith Richards and Eric Clapton, Berry runs through his classic hits to an adoring audience. The production also features behind-the-scenes footage and interviews with Berry and others, providing an in-depth look at the pioneering guitarist and singer.",,PG,"Documentary, Musical & Performing Arts",Taylor Hackford,,"Bo Diddley, Chuck Berry, Roy Orbison, Robert Cray, Etta James, Julian Lennon, Linda Ronstadt, Phil Everly, Eric Clapton, Don Everly, Keith Richards (II), Jerry Lee Lewis, Little Richard, Bruce Springsteen, Kareem Abdul-Jabbar, Johnny Johnston, John Lennon",09/10/1987,02/07/2019,120,Universal Pictures,Fresh,88,17,Upright,95,516,8,15,2
m/cirque_du_soleil_worlds_away,Cirque Du Soleil: Worlds Away,"Mia (Erica Kathleen Linz) is a young woman seeking escape. She enters a circus tent and falls instantly in love with an aerialist (Igor Zaripov) that she sees performing. But when their eyes meet, he slips and falls, dragging Mia with him into another world. Mia and the aerialist become separated and travel in a place that exists between life and death to find each other again. Acts from Cirque du Soleil shows ""O,"" ""Mystère"" and others illustrate their journey.","Cirque Du Soleil loses its sense of wonder when bottled for the screen, with Worlds Away's shapeless story and relentless spectacle feeling hollow when divorced from the theatrical experience.",PG,"Art House & International, Documentary, Kids & Family, Science Fiction & Fantasy",Andrew Adamson,Andrew Adamson,"Erica Linz, Igor Zaripov, John Clarke, Lutz Halbhubner, Dallas Bennett, Cirque Du Soleil",21/12/2012,06/12/2014,87,Paramount Pictures,Rotten,45,47,Upright,95,2162,19,21,26
m/cool_hand_luke,Cool Hand Luke,"When petty criminal Luke Jackson (Paul Newman) is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden (Strother Martin) or the yard's resident heavy, Dragline (George Kennedy), who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.","Though hampered by Stuart Rosenberg's direction, Cool Hand Luke is held aloft by a stellar script and one of Paul Newman's most indelible performances.",PG,"Classics, Drama",Stuart Rosenberg,"Donn Pearce, Frank R. Pierson","Paul Newman, George Kennedy, J.D. Cannon, Jo Van Fleet, Lou Antonio, Robert Drivas, Strother Martin, Clifton James, Dennis Hopper, Morgan Woodward, Luke Askew, Anthony Zerbe, Marc Cavell, Richard Davalos, Wayne Rogers, Harry Dean Stanton, Robert Donner, Warren Finnerty, John McLiam, Charles Tyner, Ralph Waite, Buck Kartalian, Joy Harmon, James Gammon, Joe Don Baker, Donn Pearce, Norman Goodwins, Chuck Hicks, John Pearce, Eddie Rosson, Rush Williams, James Jeter, Robert Luster, Rance Howard, James Bradley Jr., Cyril 'Chips' Robinson",01/01/1967,19/05/2016,129,Warner Bros.,Certified-Fresh,100,51,Upright,95,63694,8,51,0
m/crna_macka_beli_macor,"Crna macka, beli macor (Black Cat, White Cat)","When gypsy grifter Matko (Bajram Severdzan) is abruptly swindled by his own partner, he is unable to pay the large debt he suddenly owes. As an alternative form of payment, Matko forces his adolescent son Zare (Florijan Ajdini) into an arranged marriage with his partner's midget sister, Afrodita (Salija Ibraimova). However, both Zare and Afrodita find the marriage objectionable, and their attempts to escape the situation lead to a series of unpredictable comic escapades.","Rambling and eccentric, Emir Kusturica's comedy captures the life and energy of the Gypsy family at the heart of the tale.",R,"Art House & International, Comedy, Drama",Emir Kusturica,"Gordan Mihic, Emir Kusturica, Karl Baumgartner","Bajram Severdzan, Srdjan Todorovic, Branka Katic, Florijan Ajdini, Bajram Sevredzan, Srdan Todorovic, Ljubica Adzovic, Zabit Memedov, Sabri Sulejman, Jasar Destani, Stojan Sotirov, Predrag Lakovic, Miki Manojlovic, Salija Ibraimova, Zdena Hurtocakova, Bekir Adnan, Irfan Jagli",10/09/1999,02/11/2017,129,October Films,Fresh,83,35,Upright,95,21082,9,29,6
m/dark_waters_2019,Dark Waters,"A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. While trying to expose the truth, he soon finds himself risking his future, his family and his own life.","Dark Waters powerfully relays a real-life tale of infuriating malfeasance, honoring the victims and laying blame squarely at the feet of the perpetrators.",PG-13,Drama,Todd Haynes,"Matthew Michael Carnahan, Mario Correa","Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Camp, Victor Garber, Mare Winningham, Bill Pullman",06/12/2019,22/11/2019,126,Focus Features,Certified-Fresh,90,218,,95,2638,36,196,22
m/devils_on_the_doorstep,Devils on the Doorstep (Guizi lai le),"Villagers (Wen Jiang, Jiang Hongbo) in World War II China are unsure what to do with the two enemy prisoners who have been left in their care.",,NR,"Art House & International, Comedy, Drama",Jiang Wen,"Jiang Wen, Haiying Li, Shu Ping","Jiang Wen, Hongbo Jiang, Teruyuki Kagawa, Ding Yaun, Zhijun Cong, Zi Xi, Haibin Li, Kenya Sawada, Weidong Cai, Lianmei Chen, Yoshimoto Miyaji, Qiang Chen, David Wu",18/12/2002,09/08/2005,162,Cowboy Pictures,Fresh,91,11,Upright,95,1620,4,10,1
m/double_indemnity,Double Indemnity,"In this classic film noir, insurance salesman Walter Neff (Fred MacMurray) gets roped into a murderous scheme when he falls for the sensual Phyllis Dietrichson (Barbara Stanwyck), who is intent on killing her husband (Tom Powers) and living off the fraudulent accidental death claim. Prompted by the late Mr. Dietrichson's daughter, Lola (Jean Heather), insurance investigator Barton Keyes (Edward G. Robinson) looks into the case, and gradually begins to uncover the sinister truth.","A dark, tautly constructed adaptation of James M. Cain's novel -- penned by Billy Wilder and Raymond Chandler -- Double Indemnity continues to set the standard for the best in Hollywood film noir.",NR,Drama,Billy Wilder,"Raymond Chandler, Billy Wilder","Barbara Stanwyck, Fred MacMurray, Edward G. Robinson, Porter Hall, Jean Heather, Tom Powers, Richard Gaines, Fortunio Bonanova, John Philliber, Gig Young, Bess Flowers, Al Bridge, Kernan Cripps, Oscar Smith, Betty Farrington, Sam Gorlopis, Edmund Cobb, Floyd Schackleford, James Adamson, Sam McDaniel, Teala Loring, Judith Gibson, Clarence Muse, Miriam Franklin, William O'Leary, Edward Hearn, Lee Shumway, Constance Purdy, Boyd Irwin, Dick Rush, George Melford, Alan Bridge, Floyd Shackelford, George Magrill, Douglas Spencer",06/09/1944,01/10/2014,106,Paramount Pictures,Certified-Fresh,97,64,Upright,95,35764,13,62,2
m/far_from_the_tree,Far From the Tree,"Parents of children who have Down syndrome, dwarfism or autism share intimate stories of the challenges they face.",Far from the Tree takes a piercingly thoughtful look at the family dynamic that makes its points -- and earns its tears -- honestly.,NR,Documentary,Rachel Dretzin,,Andrew Solomon (XI),20/07/2018,30/10/2018,93,Sundance Selects,Certified-Fresh,90,42,Upright,95,294,15,38,4
m/five_heartbeats,The Five Heartbeats,"Coming in on the tail end of a rhythm and blues singing group explosion, The Five Heartbeats (Robert Townsend, Michael Wright, Leon, Harry J. Lennix, Tico Wells) rise and fall within the space of seven years. Along the way, the group deals with all manner of fame and fortune distractions -- jealousy, greed, too much womanizing and drugs all take a toll. Their troubles culminate when executive Big Red (Hawthorne James) is arrested for the murder of manager Jimmy Potter (Chuck Patterson).",,R,"Drama, Musical & Performing Arts",Robert Townsend,"Keenen Ivory Wayans, Robert Townsend","Robert Townsend, Michael Wright, Tico Wells, Leon, Harry Lennix, Diahann Carroll, Harold Nicholas, The Nicholas Brothers, Tressa Thomas, John Canada Terrell, Chuck Patterson, Hawthorne James, Roy Fegan, Troy Beyer, Carla Brothers, Deborah Lacey, Theresa Randle, John Witherspoon, Anne-Marie Johnson, Randy Harris, Lisa Mende, Bobby McGee, Don Barnes, O.L. Duke, Lamont Johnson, Arnold Johnson, Tommy Townsend, Veronica Redd, David McKnight, Phyllis Applegate, Virginia Watson, Paul Benjamin, Marilyn Coleman, Norma Donaldson, Harris Peet, Kasi Lemmons, Monique Mannen, Suzanne Suter, Gigi Bolden, Kathleen Mitchell, Ron Jaxson, Recoe Walker, Wayne ""Crescendo"" Ward, Gregory ""Popeye"" Alexander, Bob Mardis, Jimmy Woodard, Brian Bradley, Mike Conn, Barry Diamond, Carl Edwards, Joey Gaynor, Roger Rose, James Anderson, Freddie Asparagus, Randy 'Roughhouse' Harris, Al Simon, Tammy Townsend, Shannon Chambers, Devin C. Huff, Lakisha Luke, Jeannel Phillips White, Kamar Phillips White, Fred Asparagus, Brandon Wright, Christopher Bradley, Aaron J. Galang, Harry Stanback, Tiffanique Webb, Timmie Rogers, Craig Eisner, Tommy Redmond Hicks, David Drummond, Griff Ruggles, Joel Weiss, Regina McLeod, Shanel Cason, Jimmy Jackson, Alexis Johnson, John Pittman, Vince Isaac, Ron Smith, Vincent J. Isaac, Frank Fontaine, Donnie Simpson, Eugene Robert Glazer",29/03/1991,22/04/2016,122,20th Century Fox Film Corporation,Rotten,39,18,Upright,95,19050,4,7,11
m/forrest_gump,Forrest Gump,"Slow-witted Forrest Gump (Tom Hanks) has never thought of himself as disadvantaged, and thanks to his supportive mother (Sally Field), he leads anything but a restricted life. Whether dominating on the gridiron as a college football star, fighting in Vietnam or captaining a shrimp boat, Forrest inspires people with his childlike optimism. But one person Forrest cares about most may be the most difficult to save -- his childhood love, the sweet but troubled Jenny (Robin Wright).","Forrest Gump may be an overly sentimental film with a somewhat problematic message, but its sweetness and charm are usually enough to approximate true depth and grace.",PG-13,"Comedy, Drama, Romance",Robert Zemeckis,Eric Roth,"Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Haley Joel Osment, Michael Conner Humphreys, Ellen Lewis, Hanna R. Hall, Dick Cavett, Rebecca Williams, Geoffrey Blake, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis, Logan Livingston Gomez, Ben Waddel, Elizabeth Hanks, Tyler Long, John William Galt, Christopher Jones, Grady Bowman, Kevin Mangan, Fay Genens, Frank Geyer, Joe Alaskey, Rob Landry, Jason McGuire, Pete Auster, Sonny Shroyer, Brett Rice, Ed Davis, Daniel Striepeke, Mary Ellen Trainor, Bruce Lucvia, David Brisbin, Kirk Ward, Aaron Michael Lacey, Angela Lomas, Timothy Record, Deborah McTeer, Mark Matheisen, Al Harrington, Bob Harks, Don Fischer, Kenneth Bevington, Michael Flannery, Gary Robinson, Marlena Smalls, Kitty K. Green, Afemo Omilami, Matt Wallace, Dante McCarthy, Paulie DiCocco III, Mike Jolly, Michael Kemmerling, John Voldstad, Jeffrey Winner, Russ Wilson, Daniel J. Gillooly, Calvin Gadsden, Aaron Izbicki, Michael Burgess, Steven Griffith, Bill Roberson, Michael McFall, Eric Underwood, Stephan Derelian, Byron Minns, Bonnie Ann Burgess, Oliver Scott, Hilary Chaplain, Isabel Rose, Jay Ross, Richard D'Allesandro, Dick Stilwell, Kevin Davis, Michael Jace, Tim Perry, Vanessa Roth, Emily Carey, Paul Raczkowski, Valentino, Tiffany Salerno, Marla Sucharetza, Aloysius Gigl, Jack Bowden, Lazarus Jackson, Benson W. Terry, Matt Rebenkoff, Peter Bannon, Joe Washington, Nora Dunfee, Natalie Hendrix, Hallie D'Amore, Jim Hanks, Chiffonye Cobb, Juan Singleton, Bobby K. Richardson, Michael Mattison, Lenny Herb, Charles Boswell, Tim McNeil, Lonnie Hamilton, Teresa Denton, Hanna Hall, Harold G. Herthum, Tommy Johnson",06/07/1994,01/08/2013,142,Paramount Pictures,Fresh,71,103,Upright,95,1244237,30,73,30
m/god_grew_tired_of_us,God Grew Tired Of Us,"Filmmaker Christopher Quinn observes the ordeal of three Sudanese refugees -- Jon Bul Dau, Daniel Abul Pach and Panther Bior -- as they try to come to terms with the horrors they experienced in their homeland, while adjusting to their new lives in the United States.","Not just a powerful telling of the journey of exiled Sudanese boys, God Grew Tired of Us is also a poignant account of the determination of the human spirit.",PG,"Documentary, Special Interest",Christopher Dillon Quinn,Christopher Dillon Quinn,"Nicole Kidman, John Bul Dau, Panther Bior, Daniel Abul Pach",12/01/2007,16/04/2012,86,Newmarket Films,Certified-Fresh,91,69,Upright,95,6048,25,63,6
m/grave_of_the_fireflies,Grave of the Fireflies (Hotaru no haka),A teenager (J. Robert Spencer) is charged with the care of his younger sister (Rhoda Chrosite) after an Allied firebombing during World War II destroys their home and kills their mother.,"An achingly sad anti-war film, Grave of the Fireflies is one of Studio Ghibli's most profoundly beautiful, haunting works.",NR,"Animation, Anime & Manga, Art House & International, Drama",Isao Takahata,Isao Takahata,"J. Robert Spencer, Tsutomu Tatsumi, Ayano Shiraishi, Rhoda Chrosite, Veronica Taylor, Amy Jones, Crispin Freeman, Nick Sullivan, Shannon Conley, George Leaver, Dan Green",01/01/1988,11/03/2017,88,Shinchosha Company,Certified-Fresh,100,40,Upright,95,68945,7,40,0
m/great_dictator,The Great Dictator,"After dedicated service in the Great War, a Jewish barber (Charles Chaplin) spends years in an army hospital recovering from his wounds, unaware of the simultaneous rise of fascist dictator Adenoid Hynkel (also Chaplin) and his anti-Semitic policies. When the barber, who bears a remarkable resemblance to Hynkel, returns to his quiet neighborhood, he is stunned by the brutal changes and recklessly joins a beautiful girl (Paulette Goddard) and her neighbors in rebelling.","Charlie Chaplin demonstrates that his comedic voice is undiminished by dialogue in this rousing satire of tyranny, which may be more distinguished by its uplifting humanism than its gags.",G,"Classics, Comedy, Drama",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell, Billy Gilbert, Maurice Moscovich, Emma Dunn, Grace Hayle, Carter DeHaven Sr., Bernard Gorcey, Paul Weigel, Chester Conklin, Hank Mann, Esther Michelson, Florence Wright, Eddie Gribbon, Rudolph Anders, Eddie Dunn, Nita Pike, Peter George Lynn, Carter DeHaven, Henry Bergman",01/01/1940,22/05/2017,128,Criterion Collection,Certified-Fresh,93,43,Upright,95,43702,10,40,3
m/high_and_low,High and Low (Tengoku to jigoku),"Toshiro Mifune stars as a wealthy industrialist whose family becomes the target of a ruthless kidnapper in Akira Kurosawa's exemplary film noir. Based on Ed McBain's detective novel ""King's Ransom,"" ""High and Low"" is both a riveting thriller and a brilliant commentary on contemporary Japanese society.",,NR,Drama,Akira Kurosawa,"Akira Kurosawa, Hideo Oguni, Eijiro Hisaita, Ryuzo Kikushima","Toshiro Mifune, Tatsuya Nakadai, Kyoko Kagawa, Tatsuya Mihashi, Yutaka Sada, Kenjiro Ishiyama, Tsutomu Yamazaki, Takashi Shimura, Susumu Fujita, Ko Kimura, Takeshi Katô, Yoshio Tsuchiya, Hiroshi Unayama, Koji Mitsui",26/11/1963,25/02/2017,142,Criterion Collection,Fresh,95,20,Upright,95,8359,3,19,1
m/in_the_name_of_the_father,In the Name of the Father,"Unemployed young Irishman Gerry Conlon (Daniel Day-Lewis) gets by as a petty thief in 1970s Belfast. When local IRA leaders get fed up with him, he flees to England and meets up with his friend Paul Hill (John Lynch). On the same night that the IRA bombs a nearby pub, the friends get kicked out of their communal digs and are forced to sleep in a park. He returns to Belfast, but is arrested as the prime suspect in the bombing and imprisoned, where he spends 15 years trying to clear his name.","Impassioned and meticulously observed, In the Name of the Father mines rousing drama from a factual miscarriage of justice, aided by scorching performances and director Jim Sheridan's humanist focus.",R,Drama,Jim Sheridan,"Terry George, Jim Sheridan","Daniel Day-Lewis, Pete Postlethwaite, Emma Thompson, Corin Redgrave, John Lynch, Paterson Joseph, Britta Smith, Don Baker, Joanna Irvine, Beatie Edney, Gerard McSorley, Daniel Massey, John Benfield, Mark Sheppard, Alison Crosbie, Philip King, Nye Heron, Gary Hudson, Anthony Brophy, Frankie McCafferty, Michelle Moffett, Nuala Moiselle, Paul Warriner, Julian Walsh, Patsy Pollock, Stuart Wolvenden, Robert Sampson, Jo Connor, Brandy Sanders, Karen Carlisle, Brenda Swanson, Seamus Moran, Jan-Michael Vincent, Billy Byrne, Lawrence Hilton-Jacobs, Maureen McBride, George Shannon, Mary Jane Nolan Kelly, Laurence Griffin, Jason Murtaugh, Kelly McKeavney, Fiona Daly, Joe McPartland, Catherine Dunne, Stanley Townsend, Anna Meegan, Tony Denham, Marie Jones, Rob Spendlove, Leah McCullagh, Philip Davis, Saffron Burrows, Martin Murphy, Jamie Harris, Richard Graham, Barbara Mulcahy, Oliver Maguire, Ronan Wilmot, Rachel Dowling, MacLean Burke, Joe Jeffers, Tina Kellegher, Aidan Grennell, Bosco Hogan, Sean Lawlor, Aidan Grenell, Kenneth Edge, Frank Harper, Dave Duffy, Martin Dunne, Jer O'Leary, Mal Whyte, Paul Savage, Malcolm Tierney, Paul Raynor, Darren McHugh, Peter Campbell, Alan Barry, Jonathan Ryan, Liam O'Callaghan, Denys Hawthorne, Tom Wilkinson, Lou Castel",29/12/1993,10/09/2015,132,Universal Pictures,Certified-Fresh,94,50,Upright,95,41328,17,47,3
