rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/blue_car,Blue Car,"Meg is a gifted but emotionally scarred 18-year-old. Meg finds solace in writing poetry. Mr. Auster, her English teacher, recognizes her talent and steps into the role of mentor and father figure, encouraging her to enter a national poetry contest for which he is a judge. As tension at home escalates and Meg struggles to find a way to get to the poetry finals in Florida, Auster's role in her life becomes increasingly complex.",A cautionary tale that rings true.,R,Drama,Karen Moncrieff,Karen Moncrieff,"David Strathairn, Agnes Bruckner, Margaret Colin, Frances Fisher, A.J. Buckley, Regan Arnold, Sarah Beuhler, Sarah Buehler, Dustin Sterling, Mike Ward, Wayne Armstrong, Aftab Pureval, Wendy Lardin, Jenn O'nofrio, Greg Marc Miller, Michael Raysses, Amy Benedict, Jaime Scheingross, Julie Schuster, Jane Mowder, David Carroll, Jacqueline Childs, Dan Buran, Jeff Gage, Kristan Andrews, Peer J. Oppenheimer",02/05/2003,23/08/2020,96,Miramax Films,Certified-Fresh,80,89,Upright,65,2517,35,71,18
m/break_ke_baad,Break Ke Baad,"Aaliya is not ready for commitment even after a decade-long friendship with Abhay. She remains indifferent when he follows her to Australia, but is finally shaken when he announces his marriage.",,NR,"Art House & International, Comedy, Drama, Romance",Danish Aslam,Renuka Kunzru,"Deepika Padukone, Imran Khan, Sharmila Tagore, Navin Nischol, Lillete Dubey",24/11/2010,31/07/2020,113,Reliance Big Pictures,Rotten,17,6,Spilled,33,1115,2,1,5
m/burden_2020,Burden,A former member of the Ku Klux Klan learns tolerance through love and faith when he's taken in by an African American reverend.,"Burden grapples clumsily with its undeniably worthy themes, but its honorable intentions -- and strong performances -- make it easy to forgive those flaws.",R,Drama,Andrew Heckler,Andrew Heckler,"Garrett Hedlund, Forest Whitaker, Tom Wilkinson, Andrea Riseborough, Tess Harper, Crystal Fox, Usher Raymond",28/02/2020,06/06/2020,129,101 Studios,Rotten,51,68,,97,29,15,35,33
m/cane_river,Cane River,A romance develops between two African-Americans from different class backgrounds.,,NR,"Drama, Romance",Horace B. Jenkins,Horace B. Jenkins,"Tommye Myrick, Richard Romain, Carol Sutton, Barbara Tasker",07/02/2020,06/07/2020,90,,Fresh,100,16,Spilled,38,8,4,16,0
m/capital_in_the_twenty_first_century,Capital in the Twenty-First Century,"Filmmaker Justin Pemberton examines issues related to wealth, power, poverty and inequality.","Capital in the Twenty-First Century can't hope to address its subject with the depth of its source material, but the end result remains an eye-opening overview.",NR,Documentary,Justin Pemberton,,"Gillian Tett, Rana Foroohar, Ian Bremmer, Francis Fukuyama, Paul Piff, Bryce Edwards, Simon Johnson, Lucas Chancel, Faisa Shaheen, Gabriel Zucman, Joseph Stiglitz, Suresh Naidu, Paul Mason, Kate Williams",03/04/2020,03/07/2020,103,,Certified-Fresh,93,40,Upright,78,36,7,37,3
m/cave_of_the_yellow_dog,The Cave of the Yellow Dog (Die Hohle des gelben Hundes),"Nansal (Nansal Batchuluun), the oldest daughter of a nomadic Mongolian family, finds a small dog and names him Zochor. Her father refuses to let her keep it, believing it will bring the family bad luck and lead wolves to their sheep. Nansal decides to defy her father by hiding her four-legged friend but as winter approaches and the family prepares to move camps, Zochor is tied to a post by Nansal's father. He is forced to reconsider after the dog protects their youngest child from vultures.","A sparse, hauntingly beautiful journey across continents and cultures.",G,"Art House & International, Drama, Special Interest",Byambasuren Davaa,,"Babbayar Batchuluun, Nansal Batchuluun, Nansalmaa Batchuluun, Buyandulam Daramdadi, Batchuluun Urjindorj",28/07/2005,26/07/2020,93,Tartan Films,Certified-Fresh,90,50,Upright,88,3823,20,45,5
m/centigrade_2020,Centigrade,"A man and his pregnant wife become trapped in their car when a storm buries them underneath layers of snow and ice. As supplies dwindle and temperatures plunge, the couple must battle the elements and hypothermia in a desperate fight for survival.","A survival thriller largely bereft of thrills, Centigrade may leave audiences feeling just as hopelessly trapped as the main characters.",NR,Mystery & Suspense,Brendan Walsh,"Brendan Walsh, Daley Nixon","Genesis Rodriguez, Vincent Piazza, Louis Cancelmi",28/08/2020,28/08/2020,127,IFC Midnight,Rotten,40,43,Spilled,41,22,2,17,26
m/children_of_the_sea_2020,Children of the Sea (Kaijû no Kodomo),"When Ruka was younger, she saw a ghost in the water at the aquarium where her dad works. Now she feels drawn toward the aquarium and the two mysterious boys she meets there, Umi and Sora.","An animated adventure perhaps best appreciated as a visual experience, Children of the Sea is strikingly lovely if less than satisfying on a narrative level.",NR,"Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",Ayumu Watanabe,Hanasaki Kino,"Mana Ashida, Hiiro Ishibashi, Win Morisaki, Yû Aoi, Seishû Uragami, Goro Inagaki",20/04/2020,30/08/2020,110,GKIDS,Fresh,61,28,Upright,62,34,4,17,11
m/crshd,CRSHD,A college freshman wants to get into an exclusive club to meet someone to take her virginity.,,NR,Comedy,Emily Cohn,Emily Cohn,"Isabelle Barbier, Deeksha Ketkar, Sadie Scott, Callie Harlow, Shelby Brunn, Jerry Lee Tucker",,02/08/2020,80,Lightyear Entertainment,Fresh,75,20,Upright,60,5,3,15,5
m/daddy_issues_2020,Daddy Issues,"When her emotionally distant father dies and leaves her his company, a 20-something stand-up comic must move from London to Los Angeles to take over the family business and try to win her father's approval, even after his death.",,NR,Comedy,Laura Holliday,"Laura Holliday, Kimberley Datnow, Amy Datnow","Kimberley Datnow, Tanner Rittenhouse, Alice Carroll Johnson, Francis Lloyd Corby, Kimia Behpoornia, Corsica Wilson",23/06/2020,23/06/2020,80,Gravitas Ventures,Rotten,0,7,,,,1,0,7
